PlantID|SpeciesName|HeightMinCm|HeightMaxCm|ElevationMinMeters|ElevationMaxMeters|SoilMoisture|Substrates|Terrain|PlantAssociations|HabitatNotes|BloomMonths|BloomColors|NectarGuides|PlantNotes|StateCodes|CountyCodes
PL0013|Penstemon acuminatus acuminatus|25|60|60|400|xeric|sandy soils|dunes|sagebrush||4, 5, 6, 7|yellow, blue, violet|||OR, WA|
PL0014|Penstemon acuminatus latebracteatus|25|60|600|1700|xeric|sandy soils|dunes, sandy flats|sagebrush, shadscale||5, 6, 7|yellow, blue, violet|||ID, NV, OR|
PL0015|Penstemon alamosensis|30|70|1300|1620|xeric|rock crevices, limestone|canyons, cliffs|ocotillo, cactus, agave, yucca|Favors north or northeast facing hillsides|4, 5, 6|orange-red, red|||NM, TX|
PL0016|Penstemon albertinus|15|40|800|2800|xeric|gravelly soils|rocky hillsides, cliffs, roadcuts, woodland clearings|conifers||5, 6, 7, 8|blue, violet|||ID, MT|
PL0017|Penstemon albidus|15|40|1000|2200|mesic|calcareous gravel soils, sandy soils|grasslands|shortgrass prairie, mixed prairie||4, 5, 6|white, pale blue|||CO, IA, KS, MN, MT, ND, NE, NM, OK, SD, TX|
PL0018|Penstemon albomarginatus|15|30|400|800|xeric|deep sand|dunes, washes|Joshua tree, Mojavean desert scrub|Mojave Desert|3, 4, 5, 6|pink|magenta|white center|AZ, CA, NV|
PL0019|Penstemon alluviorum|60|120|||mesic, hydric|sandy soils, clay soils|alluvial lowlands|none|Near Ohio and Mississippi Rivers|5|white|||AL, AR, IL, IN, KY, MO, MS, OH, TN|
PL0020|Penstemon ambiguus ambiguus|30|50|700|2100|xeric|deep sand, sandy soils|dunes, shrublands|sandsage||5, 6, 7, 8, 9|white, pink, violet|||CO, KS, NM, OK, TX|
PL0021|Penstemon ambiguus laevissimus|30|50|700|1800|xeric|sandy soils|hillsides, mesas, shrublands|creosote, blackbrush, Artemisia filifolia, juniper||5, 6, 7, 8, 9|white, pink|magenta||AZ, CO, NM, NV, TX, UT, WY|
PL0022|Penstemon ammophilus|5|15|1800|2200|xeric|deep sand, sandy soils|dunes, shrublands, woodlands|Wyethia scabra, Ponderosa pine|Canaan Mtns.|5, 6|white, pinkish-blue, blue-lavender, violet|violet||UT|49017, 49025, 49053
PL0023|Penstemon anguineus|30|80|1200|1850|mesic|gravelly soils, clay soils, loamy soils|shrublands, woodland clearings, clearcut hillsides|chaparral, conifers||6, 7, 8|pale blue, blue-lavender, violet|violet||CA, OR|
PL0024|Penstemon angustifolius angustifolius|10|40|600|2400|mesic, xeric|gravelly soils, sandy soils|grasslands, shrublands|sagebrush, shortgrass prairie||5, 6, 7|pink, blue, lavender|magenta||CO, MT, ND, NE, SD, WY|
PL0025|Penstemon angustifolius caudatus|20|40|900|2300|mesic|sandy soils|grasslands, shrublands|sagebrush, shortgrass prairie||4, 5, 6|white, blue|magenta||CO, KS, NE, NM, OK, SD, WY|
PL0026|Penstemon angustifolius dulcis|10|40|1500|1750|xeric|sandy soils, gravelly soils|dunes, open plains|sagebrush, saltbush, juniper|West central UT|5, 6|pink|magenta, violet||UT|49023, 49027
PL0027|Penstemon angustifolius venosus|10|40|1400|2300|xeric|sandy soils|open plains, prairie, desert shrublands, woodlands, dunes|blackbrush, sagebrush, piñon-juniper||4, 5, 6|pink, blue, lavender|magenta, violet|from P. caudatus by veined floral bracts|AZ, CO, NM, UT|
PL0028|Penstemon angustifolius vernalensis|10|40|1500|1750|xeric|sandy soils|open plains, prairie, desert shrublands, woodlands|sagebrush, piñon-juniper, juniper|1433770 East Uinta Basin|5, 6|blue, blue-lavender|magenta||UT|49009, 49047, 08103, 08081
PL0029|Penstemon arenarius|10|30|1200|1800|xeric|deep sand, sandy soils|dunes, valleys|none|West Nevada Tonopah to Fallon, Nye, Mineral, Churchill counties|5, 6, 7|white, lavender|magenta||NV|
PL0030|Penstemon arenicola|8|18|1800|2400|xeric|sandy soils, white shales|open plains, cliffs|sagebrush|1593279 Red Desert Basin|5, 6|blue, violet|magenta||WY|56037, 56007, 56023, 56041
PL0031|Penstemon aridus|6|20|2000|2500|xeric|gravelly soils|rocky hillsides, shrublands, montane grasslands, woodlands|sagebrush||6, 7|blue, violet|magenta||ID, MT, WY|
PL0032|Penstemon arkansanus|25|45|60|300|mesic|shale soils, sandstone soils, stream gravels|woodlands, grassy hillsides|oak-hickory||4, 5, 6|white, pink|magenta||AR, IL, MO, OK, TX|
PL0033|Penstemon attenuatus attenuatus|30|90|500|2500|mesic|gravelly soils|woodland clearings, clearcut hillsides, subalpine meadows|sagebrush, pine|Arid Transition Zone|5, 6, 7, 8|white, pale yellow, pale blue, blue, violet|none||ID, MT, OR, WA|
PL0034|Penstemon attenuatus militaris|20|50|1700|2500|mesic|gravelly soils|rocky hillsides, woodlands, subalpine meadows|Douglas fir, lodgepole pine||6, 7, 8|blue, violet|none||ID, MT|
PL0035|Penstemon attenuatus palustris|20|50|400|2400|hydric, mesic|unspecified|marshes, stream banks, wet meadows|none||6, 7, 8|pinkish blue, blue, violet|magenta||ID, OR|
PL0036|Penstemon attenuatus pseudoprocerus|10|40|1600|3200|mesic|gravelly soils|rocky hillsides, foothills, subalpine meadows, alpine meadows|none||7, 8|blue-violet|none||ID, MT, WY|
PL0037|Penstemon atwoodii|14|35|1650|2000|xeric|sandy soils|woodlands|piñon-juniper|Kaiparowits Plateau, 1432578 Smoky Mountain|5, 6|blue, lavender|dark violet||UT|49025, 49017
PL0038|Penstemon auriberbis|10|35|1250|2300|xeric|sandy soils, sandy-loam soils, indurated clay soils|shrublands, grasslands|sagebrush, shortgrass prairie||5, 6, 7, 8|pinkish blue, lilac, pale violet|magenta, violet||CO, NM|
PL0039|Penstemon australis|30|80|10|200|mesic|granite gravel soils, sandy soils|sandy plains, woodlands|pine, oak|Coastal Plain and Piedmont|4, 5, 6, 7|pink|magenta||AL, FL, GA, NC, TN, VA|
PL0040|Penstemon azureus angustissimus|20|50|300|700|mesic|gravelly soils|open hillsides, woodlands|none|Sierra foothills Butte to Fresno|5, 6, 7, 8|blue, violet|magenta||CA|
PL0041|Penstemon azureus azureus|20|50|500|2500|mesic|gravelly soils|river benches, open hillsides, mesas|chaparral, pine, oak, juniper|Lower Transition Zone to Upper Canadian Zone|5, 6, 7, 8|blue, violet|violet||CA, OR|
PL0042|Penstemon baccharifolius|15|40|300|2000|xeric|calcareous gravel soils, rock crevices, limestone|open hillsides, cliffs, rock ledges|oak, pine-oak|Edwards Plateau, Trans-Pecos|6, 7, 8, 9|red|none||TX|
PL0043|Penstemon barbatus barbatus|30|100|1600|2500|xeric|gravelly soils, rock crevices|open hillsides, woodlands|piñon-juniper, Gambel oak, Ponderosa pine, Douglas fir||6, 7, 8, 9|orange-red, scarlet, red, crimson|red||AZ, NM, TX, UT|
PL0044|Penstemon barbatus torreyi|30|100|1600|2500|xeric|gravelly soils|woodlands, montane meadows|piñon-juniper, Gambel oak, Ponderosa pine, spruce-fir|Eastward from Mogollon Rim through Trans-pecos|6, 7, 8, 9|red|red||AZ, CO, NM, TX, UT|
PL0045|Penstemon barbatus trichander|30|100|1600|2200|xeric|gravelly soils|open hillsides, roadsides, woodlands|piñon-juniper, Gambel oak, Ponderosa pine|Four Corners region|6, 7, 8|orange-red, scarlet, red, crimson|red||AZ, CO, NM, UT|49037, 08083, 35045, 04001
PL0046|Penstemon barnebyi|6|20|1500|2500|xeric|alluvial gravel soils, calcareous silt|shrublands, woodlands|sagebrush, piñon-juniper||5, 6|pink, pinkish blue|magenta||CA, NV|
PL0047|Penstemon barrettiae|20|40|70|300|mesic|basalt, rock crevices|rock outcrops, talus slopes, cliffs|none|Arid Transition Zone|4, 5, 6|pink, lilac|magenta||OR, WA|41027, 41065, 53039
PL0048|Penstemon bicolor bicolor|60|140|700|800|xeric|calcareous gravel soils, limestone|rock outcrops, outwash fans|creosote bush||3, 4, 5, 6|pinkish orange, rose pink, pale yellow|red, magenta||AZ, NV|
PL0049|Penstemon bicolor roseus|60|140|700|800|xeric|gravelly soils|washes, roadsides, talus slopes, woodlands|juniper, desert scrub|Clark County, Mohave County|3, 4, 5, 6|bright pink, pale yellow|||AZ, NV|
PL0050|Penstemon bleaklyi|2|8|3800|4000|unspecified|granite gravel soils|alpine scree slopes|pine|Culebra Range|7, 8|lavender||blooms July possibly into August|NM|
PL0051|Penstemon bracteatus|3|10|2100|2500|xeric|gravelly soils, rock crevices|rocky hillsides, talus slopes|Ponderosa pine|Paunsaugunt Plateau Garfield|5, 6, 7|blue, lavender, violet|magenta||UT|49017
PL0052|Penstemon breviculus|8|20|1600|2000|xeric|gravelly soils, sandy soils, clay soils|open hillsides, woodlands|sagebrush, piñon-juniper|Four Corners region|5, 6|pink, pinkish blue, lavender, violet|magenta, violet||AZ, CO, NM, UT|04001, 08083, 08085, 08113, 35045, 35031, 49019, 49037, 49055
PL0053|Penstemon brevisepalus|60|80|200|700|unspecified|gravelly soils, sandy soils|rocky hillsides, woodlands, roadcuts|oak-hickory|Appalachian Plateau|5, 6|lavender, violet|magenta||KY, TN|
PL0054|Penstemon buckleyi|10|25|1000|2300|unspecified|sandy soils|dunes, high plains|sandsage, mixed prairie||4, 5, 6|violet|red, magenta||CO, KS, NE, NM, OK, TX|
PL0055|Penstemon caesius|20|80|1800|3400|xeric|gravelly soils|open hillsides, rocky ridges, woodlands|pine|Transition Zone, Canadian Zone|6, 7, 8|blue, violet|none||CA|
PL0056|Penstemon caespitosus caespitosus|4|5|2000|2300|xeric|gravelly soils, sandy soils, clay soils|shrublands, woodlands, alpine meadows|sagebrush, juniper||4, 5, 6, 7|pale blue, blue, blue-lavender|magenta||CO, UT, WY|08015, 08037, 08049, 08051, 08057, 08077, 08081, 08093, 08103, 08107, 49009, 49013, 49047, 49051, 56007, 56023, 56035, 56037, 56041
PL0057|Penstemon caespitosus desertipicti|4|5|1500|2800|xeric|gravelly soils, sandy soils, clay soils|shrublands, woodlands|sagebrush, piñon-juniper, Ponderosa pine, juniper, oak|1451137 Aquarius Plateau, 1451152 Paunsaugunt Plateau, 1451154 Sevier Plateau|4, 5, 6, 7|blue, blue-lavender|magenta||AZ, UT|04001, 04005, 04015, 49001, 49017, 49025, 49031, 49055
PL0058|Penstemon caespitosus perbrevis|4|5|2100|2900|xeric|gravelly soils, sandy soils, clay soils|shrublands, woodlands|sagebrush, piñon-juniper, pine|1448009 East Tavaputs Plateau, 1448014 West Tavaputs Plateau, 1447008 Wasatch Range, 1451137 Aquarius Plateau|5, 6, 7, 8|blue, blue-lavender|magenta||CO, UT|08045, 49007, 49013, 49015, 49017, 49039, 49047, 49049, 49051
PL0059|Penstemon tusharensis|6|12|2150|3050|xeric|gravelly soils, sandy soils|subalpine hillsides|piñon-juniper, aspen, black sagebrush|1446768 Tushar Mountains, 1451148 North Markagunt Plateau|6, 7, 8|blue, lavender, violet|magenta||UT|49001, 49017, 49021, 49031, 49041
PL0060|Penstemon calcareus|5|25|1100|1950|xeric|rock crevices, limestone|canyons, cliffs|pine-juniper|Grapevine Mtns, Providence Mtns, Mojave Desert|5, 6, 7|pink, rose pink, red, rose purple|red||CA|
PL0061|Penstemon californicus|10|30|1200|2300|xeric|gravelly soils, sandy soils|woodlands|piñon-juniper, yellow pine|San Jacinto Mtns|5, 6, 7, 8|violet|magenta||CA|
PL0062|Penstemon calycosus|60|120|10|300|mesic, hydric|limestone, alluvial soils|rock ledges, stream banks, meadows, woodlands|none||5, 6, 7|white, pink|||AL, CT, DC, GA, IL, IN, KY, MA, MD, ME, MI, NC, NH, NJ, NY, OH, PA, RI, SC, TN, VA, VT|
PL0063|Penstemon canescens|30|80|200|1600|mesic|gravelly soils, sandy soils|woodlands|none||6, 7|white, lavender, violet|lavender, violet||AL, GA, IL, IN, KY, MD, NC, OH, PA, SC, TN, VA, WV|
PL0064|Penstemon cardinalis cardinalis|40|60|2100|2700|xeric|gravelly soils|rocky hillsides, canyons, woodlands|piñon-juniper, pine|Capitan Mtns, Sacramento Mtns|6, 7|red, crimson|none||NM|
PL0065|Penstemon cardinalis regalis|40|60|1400|2500|xeric|gravelly soils|canyons, woodlands|pine|Guadalupe Mountains of Culberson County, Texas and Eddy County, New Mexico|5, 6, 7, 8|red, crimson|none||NM, TX|
PL0066|Penstemon cardwellii|10|20|400|1900|mesic|gravelly soils|open hillsides, woodland clearings|none||5, 6, 7, 8|white, lavender, violet|violet||OR, WA|
PL0067|Penstemon carnosus|12|35|1500|2500|xeric|sandy soils|shrublands, woodlands|piñon-juniper||5, 6, 7|pinkish blue, blue, blue-violet|magenta||UT|49007, 49015, 49017, 49025, 49041, 49055
PL0068|Penstemon caryi|9|35|1600|2900|unspecified|gravelly soils|rock outcrops, subalpine woodland clearings, alpine hillsides|Mountain big sagebrush, Utah juniper, Rocky Mountain juniper, Douglas fir, limber pine|1597104 Bighorn Mountains, 789222 Pryor Mountains|5, 6, 7|blue, blue-lavender|violet||MT, WY|30009, 56003, 56033, 56043
PL0069|Penstemon centranthifolius|30|120|10|1600|xeric|gravelly soils, sandy soils, clay soils|open hillsides, montane meadows, woodland clearings|chaparral, chamisa, manzanita, mountain mahogany, yucca|Coast ranges Lake to San Diego County|4, 5, 6, 7|scarlet|none||CA|
PL0070|Penstemon cinicola|15|40|1250|2200|xeric|volcanic soils|woodland clearings|Ponderosa pine, lodgepole pine, sagebrush|East side Cascade Range|6, 7, 8|blue, violet|none||CA, OR|
PL0071|Penstemon cleburnei|7|15|1400|2500|xeric|gravelly soils, sandy soils, clay soils|open hillsides|sagebrush-juniper||5, 6, 7|lavender, violet|none||UT, WY|49009, 56041, 56037, 56007
PL0072|Penstemon clevelandii clevelandii|30|70|200|1500|xeric|sandy soils|canyons|none|Lower Sonoran Zone, San Diego County|2, 3, 4, 5, 6|bright pink, crimson, magenta|red, magenta||CA|
PL0073|Penstemon clevelandii connatus|30|70|200|1700|xeric|gravelly soils, sandy soils|canyons|piñon-juniper, chaparral|Riverside County western Colorado Desert|3, 4, 5|white, red, crimson|magenta||CA|
PL0074|Penstemon clevelandii mohavensis|30|70|400|1500|xeric|gravelly soils, sandy soils|open hillsides, shrublands|piñon-juniper, chaparral, creosote bush, Joshua tree|Southern edge Mojave Desert|2, 3, 4, 5|white, red, crimson|||CA|
PL0075|Penstemon clutei|60|100|2100|2200|xeric|volcanic soils, rock crevices|volcanic cinder fields, woodlands|pine|Painted Desert, Sunset Crater, Coconino County|4, 5, 6, 7, 8|pink, pinkish blue, rose pink|magenta||AZ|
PL0076|Penstemon cobaea cobaea|30|60|200|1000|mesic|sandy-loam soils, gravelly soils, limestone|open hillsides, rock outcrops, grasslands|tallgrass prairie, mixed prairie|Throughout Great Plains|4, 5, 6|white, pink, pale lavender|dark violet||AR, KS, MO, NE, NM, OK, TX|
PL0077|Penstemon cobaea purpureus|30|76|100|300|mesic|calcareous gravel soils, limestone|cliffs, woodland clearings, grasslands|prairie|Ozark Plateau|4, 5, 6|violet|magenta||AR, MO, OK|
PL0078|Penstemon comarrhenus|40|80|1600|2400|mesic|sandy soils|shrublands, woodlands|sagebrush, piñon-juniper, Gambel oak, Ponderosa pine||5, 6, 7|blue, lavender|violet|magenta|AZ, CO, NM, NV, UT|
PL0079|Penstemon compactus|10|20|2000|3000|unspecified|calcareous gravel soils|rock outcrops, subalpine hillsides, alpine hillsides|none||6, 7, 8|blue, violet|none||ID, UT|16041, 49005
PL0080|Penstemon concinnus|10|18|1600|2000|xeric|alluvial gravel soils|woodland clearings|piñon-juniper||5, 6|pale blue, lavender|violet|magenta|NV, UT|32017,32033,49001,49027
PL0081|Penstemon confertus|20|50|1219|3048|mesic|loamy soils, gravelly soils|meadows, woodland clearings|none|Arid Transition Zone, Canadian Zone|5, 6, 7, 8|white, pale yellow, pink, violet|||AK, ID, MT, OR, WA|
PL0082|Penstemon confusus|6|30|1700|2200|xeric|calcareous gravel soils, sandy soils|woodlands, slopes|sagebrush, piñon-juniper||4, 5, 6|bright pink, magenta, violet|red, magenta||NV, UT|32023, 32033, 32017, 32003, 49023, 49027, 49001, 49021, 49053, 49049, 49041, 49031
PL0083|Penstemon crandallii atratus|8|15|2100|2600|unspecified|gravelly soils, sandy soils|shrublands, woodlands|sagebrush, piñon-juniper, scrub oak|1442379 La Sal Mountains|5, 6, 7|blue|magenta, violet||UT|49019
PL0084|Penstemon crandallii crandallii|8|15|1800|3400|xeric|gravelly soils, sandy soils|shrublands, woodlands|sagebrush, piñon-juniper, scrub oak|1438111 Abajo Mountains|5, 6, 7|blue, blue-lavender|magenta, violet||CO, UT|08007, 08015, 08029, 08033, 08037, 08045, 08047, 08049, 08051, 08053, 08077, 08083, 08085, 08091, 08093, 08107, 08119, 49037
PL0085|Penstemon crandallii glabrescens|6|28|1700|3400|unspecified|unspecified|woodlands|piñon-juniper, Ponderosa pine||5, 6, 7|blue, blue-lavender|magenta, violet||CO, NM|
PL0086|Penstemon crandallii procumbens|2|18|2000|3400|unspecified|unspecified|shrublands, woodlands, talus slopes|sagebrush, scrub oak, spruce||6, 7|blue, blue-lavender, lavender|||CO|
PL0087|Penstemon crandallii ramaleyi|6|25|2400|3300|unspecified|unspecified|shrublands, woodlands|sagebrush, piñon-juniper, aspen|Hinsdale County, Mineral County, Saguache County|6, 7, 8|blue, blue-lavender|||CO|
PL0088|Penstemon crandallii taosensis|5|25|2100|2600|unspecified|unspecified|woodlands|piñon-juniper, Ponderosa pine||5, 6, 7, 8|blue, blue-lavender|magenta, violet||NM|
PL0089|Penstemon cusickii|15|45|600|1500|xeric|basalt gravel soils|shrublands, hillsides|sagebrush|SW Idaho, SE Oregon|5, 6, 7|blue, violet|||ID, OR|
PL0090|Penstemon cyananthus cyananthus|20|70|1500|3200|unspecified|gravelly soils, sandy soils|foothills, canyon floors, woodlands, roadsides|sagebrush, aspens fir, Gambel oak, maple, spruce|1447008 Wasatch Range, 1431019 Oquirrh Mountains|5, 6, 7|brilliant blue, blue-violet|none||UT|
PL0091|Penstemon cyananthus subglaber|20|70|1400|3000|unspecified|clay soils|foothills, canyon floors, woodlands, roadsides|sagebrush, aspens fir, Gambel oak, maple, spruce||5, 6, 7|blue, blue-violet|none||ID, UT, WY|49003, 49023, 49049, 56023, 56039, 56041, 16031, 16043, 16077, 16071, 16005, 16041, 16011, 16019, 16065, 16081, 16051, 16029, 16007
PL0092|Penstemon cyaneus|30|70|1500|2400|xeric|gravelly soils, sandy soils|shrublands, woodlands, foothills|sagebrush||6, 7|blue|none||ID, MT, WY|
PL0093|Penstemon cyanocaulis|20|60|1600|2200|xeric|unspecified|rocky hillsides, shrublands, woodlands|sagebrush, piñon-juniper, oak-juniper||4, 5, 6|blue, blue-violet|violet||CO, UT|08077, 08085, 08113, 49007, 49015, 49019, 49037
PL0094|Penstemon cyathophorus|20|60|2100|2600|unspecified|gravelly soils, clay-loam soils|shrublands|sagebrush||5, 6, 7, 8, 9|pinkish blue, blue-lavender, lavender|none||CO,WY|08049, 08057, 08117, 56007
PL0095|Penstemon dasyphyllus|20|45|1000|1700|xeric|gravelly soils|rocky hillsides, desert grasslands|none||4, 5|violet|magenta, violet||AZ, NM, TX|
PL0096|Penstemon davidsonii davidsonii|2|18|900|3600|xeric|gravelly soils|talus slopes, rock ledges, rock outcrops|juniper|Primarily volcanic substrates, woodlands to timberline|6, 7, 8|rose purple, violet|||CA, NV, OR, WA|
PL0097|Penstemon davidsonii menziesii|2|18|30|1600|unspecified|gravelly soils|rock ledges, rock outcrops|none|Hudsonian Zone|6, 7, 8|violet|||OR, WA|
PL0098|Penstemon davidsonii praeteritus|2|18|2000|3600|unspecified|gravelly soils|rock outcrops, talus slopes|none||6, 7, 8|blue-lavender, violet|||NV, OR|
PL0099|Penstemon deamii|40|90|100|200|mesic|sterile soils, clay soils|woodlands, fields|white oak||5, 6|white, pale lavender|magenta||IL, IN|
PL0100|Penstemon deaveri|20|60|2290|3440|xeric|gravelly soils|rocky hillsides, alpine meadows, woodlands|pine|Pinlero Mtns, White Mtns, Mogollon Range|6, 7, 8, 9|lavender, violet|violet||AZ, NM|
PL0101|Penstemon debilis|4|9|2400|2600|xeric|oil shales|talus slopes|none|Garfield County, Green River Formation|6, 7|white, pale lavender|||CO|
PL0102|Penstemon degeneri|25|40|1800|2900|unspecified|unspecified|woodlands|juniper|Fremont County, Sheep Basin|6, 7, 8|blue, pale lavender|magenta||CO|
PL0103|Penstemon deustus deustus|10|40|800|2500|xeric|gravelly soils|rock outcrops, gravel banks, talus slopes, shrublands, woodlands|sagebrush, juniper, pine|Arid Transition Zone|5, 6, 7|white, cream, pale lavender|magenta||CA, ID, MT, NV, OR, WA, WY|
PL0104|Penstemon deustus pedicellatus|10|40|800|2500|xeric|calcareous gravel soils, basalt gravel soils|rocky hillsides, talus slopes, shrublands, woodlands|sagebrush, piñon-juniper, conifers||5, 6, 7|white, pale lavender|violet||CA, NV, OR, UT|
PL0105|Penstemon deustus suffrutescens|10|40|600|2700|xeric|calcareous gravel soils, basalt gravel soils|rocky hillsides, rock outcrops, woodlands|sagebrush, juniper, piñon-juniper|Siskiyou Mtns|5, 6, 7|white, pale pink|red, magenta||OR|
PL0106|Penstemon deustus variabilis|10|40|800|2500|unspecified|gravelly soils|rocky hillsides, washes|none|Klickitat County, Deschutes County, Grant County|5, 6, 7|white, pale lavender|||OR, WA|
PL0107|Penstemon digitalis|70|120|10|500|mesic|loamy soils, sandy-loam soils|grasslands, woodlands, roadsides|none||5, 6, 7|white|violet||AL, AR, CT, DC, DE, IA, IL, IN, KS, KY, LA, MA, MD, ME, MI, MN, MO, MS, NC, NE, NH, NJ, NY, OH, OK, PA, RI, SC, TN, TX, VA, VT, WV|
PL0108|Penstemon diphyllus|20|30|1300|2000|unspecified|gravelly soils|rock outcrops, cliffs|none||6, 7, 8|blue, blue-lavender|magenta||ID, MT, WA|
PL0109|Penstemon discolor|10|35|1800|2300|unspecified|granite, rock crevices|woodlands|piñon-juniper, oak||6, 7, 8|white, pale lavender, lavender, violet|magenta||AZ|
PL0110|Penstemon dissectus|10|40|10|50|xeric|aluminous sandstone soils|woodlands|oak-longleaf pine|Altamaha Grit of Inner Coastal Plain|4, 5|lavender, violet|||GA|
PL0111|Penstemon distans|30|60|1500|1600|unspecified|calcareous gravel soils|rocky hillsides, woodlands|piñon-juniper|SE end Shivwits Plateau|5, 6|blue, violet|magenta||AZ|
PL0112|Penstemon dolius|2|12|1500|2000|xeric|alkaline soils, sandy soils, gravelly soils, clay soils|alluvial fans, hillsides, woodlands|shadscale, sagebrush, piñon-juniper||5, 6|light blue, blue, blue-violet|blue, magenta||NV, UT|32007, 32023, 32033, 49001, 49023, 49027, 49039, 49045
PL0113|Penstemon duchesnensis|2|12|1500|2000|xeric|alkaline soils, sandy soils, gravelly soils, clay soils|shrublands, woodlands, hills|sagebrush, piñon-juniper|1433770 Uinta Basin|5, 6|blue, blue-violet, violet|none||UT|49013
PL0114|Penstemon eatonii eatonii|40|100|1200|2900|xeric|gravelly soils|shrublands, woodlands|sagebrush, piñon-juniper, Ponderosa pine, mountain mahogany||3, 4, 5, 6, 7|scarlet, red|none||AZ, CA, CO, ID, NM, NV, UT, WY|
PL0115|Penstemon eatonii exsertus|40|100|600|1500|xeric|unspecified|shrublands, woodlands|sagebrush, piñon-juniper, Ponderosa pine, mountain mahogany||3, 4, 5, 6|scarlet, red||exerted anthers|AZ|
PL0116|Penstemon eatonii undosus|40|100|800|2800|xeric|unspecified|shrublands, woodlands|sagebrush, piñon-juniper, Ponderosa pine, mountain mahogany||3, 4, 5, 6, 7|scarlet, red|none|inserted stamen and anthers|AZ, CA, CO, NM, NV, UT|
PL0117|Penstemon elegantulus|20|30|900|1800|unspecified|volcanic soils|hillsides, meadows|none|Hell’s Canyon, Nez Perce County, Wallowa County|5, 6|violet|violet||ID, OR|
PL0118|Penstemon ellipticus|7|13|900|2600|unspecified|rock crevices|rock outcrops, talus slopes, cliffs|none||6, 7, 8|violet|none||ID, MT, WA|
PL0119|Penstemon eriantherus argillosus|10|40|300|1300|unspecified|gravelly soils, sandy soils|plains, hillsides, woodlands|juniper||5, 6|lavender, violet|magenta||OR|
PL0120|Keckiella ternata|5|25|300|2700|unspecified|unspecified|shrublands, woodlands|chaparral, piñon-juniper, mixed hardwoods|Southern CA mountains|6, 7, 8, 9|red|none||CA|
PL0121|Penstemon eriantherus eriantherus|8|20|500|2400|xeric|gravelly soils, sandy soils, shale soils, clay soils|valleys, foothills, river benches|sagebrush, shortgrass prairie|Arid Transition Zone|6, 7|pink, lavender, violet|magenta, violet|very sticky glandular hairs on flowers|CO, ID, MT, ND, NE, SD, WA, WY|
PL0122|Penstemon eriantherus redactus|8|20|600|2700|xeric|gravelly soils, sandy soils|valleys, foothills|sagebrush||5, 6, 7|lavender, violet|magenta||ID, MT, OR|
PL0123|Penstemon eriantherus whitedii|10|40|200|1200|xeric|gravelly soils|shrublands|bitterbrush, rabbitbrush|Arid Transition Zone, Chelan County|5, 6|blue, lavender, violet|magenta nectar guides||WA|
